rank,iso3_code,country_name,year,gii,sdg3_matmort,sdg3_fertility,sdg5_parl,sdg4_second,sdg5_lfpr,gdi,hdi_f,hdi_m,le_f,eys_f,mys_f,gni_pc_f,le_m,eys_m,mys_m,gni_pc_m,gggi,ggg_pe,ggg_epo,ggg_ea,ggg_hs,sdg5_fplmodel,sdg5_edat,sdg5_paygap
0,PHL,Philippines,2000,0.493,160,55,11.261,67.74,62.316,0.976,0.622,0.638,72.81,11.6096,7.7251,3621.408958,65.499,11.1555,7.6372,6151.259097,,,,,,44.3,101.316,
0,PHL,Philippines,2001,0.4906,163,55,17.757,67.74,62.295,0.9786,0.6266,0.6408,72.818,11.67374,7.86306,3756.989248,65.5186,11.16842,7.76104,6281.11696,,,,,,45.5,101.2938,
0,PHL,Philippines,2002,0.4882,160,52.5,17.757,68.749,62.257,0.9812,0.6312,0.6436,72.826,11.73788,8.00102,3892.569538,65.5382,11.18134,7.88488,6410.974824,,,,,,46.3,101.2716,
0,PHL,Philippines,2003,0.4858,156,52.625,17.757,72.163,62.193,0.9838,0.6358,0.6464,72.834,11.80202,8.13898,4028.149829,65.5578,11.19426,8.00872,6540.832687,,,,,,46.1,101.2494,
0,PHL,Philippines,2004,0.4834,156,52.75,15.254,81.67,60.883,0.9864,0.6404,0.6492,72.842,11.86616,8.27694,4163.730119,65.5774,11.20718,8.13256,6670.690551,,,,,,47.4,101.2272,
0,PHL,Philippines,2005,0.481,156,52.875,15.254,78.726,62.346,0.989,0.645,0.652,72.85,11.9303,8.4149,4299.310409,65.597,11.2201,8.2564,6800.548414,,,,,,48.2,101.205,
0,PHL,Philippines,2006,0.4762,156,53,15.254,75.54,62.93,0.991,0.6498,0.6556,73.0824,11.9303,8.54144,4488.035688,65.669,11.26722,8.36372,7027.410566,0.7516,0.7516,0.2695,0.7573,0.9796,48.4,101.4186,
0,PHL,Philippines,2007,0.4714,149,54.3,20.502,68.103,63.188,0.993,0.6546,0.6592,73.3148,11.9303,8.66798,4676.760967,65.741,11.31434,8.47104,7254.272719,0.7629,0.7629,0.2829,0.7891,0.9796,47.8,101.6322,
0,PHL,Philippines,2008,0.4666,148,55.475,20.502,80.606,62.326,0.995,0.6594,0.6628,73.5472,11.9303,8.79452,4865.486247,65.813,11.36146,8.57836,7481.134871,0.7568,0.7568,0.2741,0.7734,0.9796,47.2,101.8458,
0,PHL,Philippines,2009,0.4618,149,56.65,20.974,77.583,63.439,0.997,0.6642,0.6664,73.7796,11.9303,8.92106,5054.211526,65.885,11.40858,8.68568,7707.997024,0.7579,0.7579,0.2915,0.7604,0.9796,48.1,102.0594,
