rank,country_name,ofw_m,ofw_f,ofw
1,Saudi Arabia,25.7480172,27.23412562,52.98214282
2,UAE,11.99340929,16.36954765,28.36295694
3,Kuwait,1.273598079,9.919255265,11.19285334
4,Hongkong,1.343694147,9.739022326,11.08271647
5,Qatar,4.680797587,5.939821909,10.6206195
6,Singapore,4.52426832,5.851790153,10.37605847
7,Taiwan,5.738242851,4.094187346,9.832430196
8,Japan,6.621844281,1.376763596,7.998607877
9,Australia,6.286863271,1.45313991,7.740003181
10,Malaysia,1.1980563,1.685680199,2.8837365
99,Rest of World,30.59120867,16.33666603,46.9278747
