Post,Risky?
"Urgent!!!!!!
We’re looking for 2 caregiver stay in (F/M)
Sa Clovis California (Fresno) Stay in
Pls message us on 👇
Aldrin Travelbuzz
Asap po Sana kung sinu may alam
Umalis kx biglaan yun 2 caregiver because
of family emergency
#filipina #filipino #pinoy
#ThankYouLord #foryoupage #fyp #viral #trending #foryou #reels #fbreels #fb #motivation #instagood #inspiration #instadaily #buhayofw #filipina #pinas #pinoyvlogger #pilipino #buhayabroad #instagram #instagood #shorts #reels #ofwlife #ofw #philippines #pinoyabroad
Pls click ✅follow 👇
Facebook : Aldrin Travelbuzz
https://www.facebook.com/Aldrin-TravelBuzz-101702115819873/
",1
"*Looking for Passport Holder bound to Singapore*
*Decent Salary awaits for you!*
📌LEGIT 100%
. Chance for Career growth in Singapore
. 100% guarantee OJT/Internship job
. Visa arrange by us
. Basic salary 900 SGD to more than 1200SGD per month ( excluding the meal Allowance and OT PAY)
*Course: Business Management /Hospitality management*
📌DIRECT TO THE SCHOOL
📌NO AGENT FEE
Limited Slots only. To check your Eligibility 📲WhatsApp: +65 8625 3679
**Private message me to reserve a slot and for more details**

19 mins

",1
"URGENT - URGENT!!!
BARTENDER
Immediate Joining (Local hire) with experience
Transferable with NOC
Attractive salary and benefits 
Send your CV Whatsapp  55246833",1
"## **Job Opportunity in Australia**

We are a market leader in bigger scale commercial projects in Australia. We have a culture of hard-working people who want to develop their careers for long-term goals and are very dedicated to our business growth. We encourage anyone from any field to develop their skills for the long term.

We are looking for the right type of people to join our diversely sensational team.

**AVAILABLE POSITIONS**

**📌Carpenter**

**📌Truck Driver**

**📌Backhoe Operator**

**📌Motor Mechanic (General)**

**📌Mechanical Engineer**

**📌Chief Executive Officer**

**📌Industrial Engineer**

For more information, send us a direct message or email to togp.recruitment2022@gmail.com.",1
"Sino po walang pang gastos dito na gustong mag abroad?
》FLY now pay later《
Bound to SINGAPORE for Domestic Helper 
Wala po kayo gagastusin during application
May free accomodation at foods para sa mga galing sa probinsya.
Must be: Passport holder,
                 No visible tattoo
                 Atleast Highschool graduate
                 Atleast 23 -30 years old sa first timer
                 Ex- Abroad atleast 23- 35-44 depende        sa tagal ng experienced",1
"urgently hiring!!
domestic helper 
bound to Bahrain, jordan KUWAIT, Qatar, Oman, Dubai",1
"I NEED MORE MORE  FAMILY LADY DRIVER APPLICANTS 

BOUND TO 🇴🇲 OMAN 

Requirements: 
Driver’s license or driving certificate
Passport
Flexible at work(willing to help other workers if you have freetime)
Salary is NEGOTIABLE 
Send message asap",1
"PTPA. Thanks

Pre-Opening Hotel Staff Urgently Required. New Hotel in Dubai. Direct Hiring.

- Executive Housekeeper 
- Housekeepers / Room Attendants
- F&B Manager
- Barista
- Sales Executive

Competitive salary package offers. Free accommodation. Free food. Must have experience in working in a hotel environment. Available in Dubai for immediate joining.

Job location: Dubai Sports City

Refer your friends. Let's help them land a job. Please send CV @ 0552892960.",1
"I NEED MORE MORE  FAMILY LADY DRIVER APPLICANTS 

BOUND TO 🇴🇲 OMAN 

Requirements: 
Driver’s license or driving certificate
Passport
Flexible at work(willing to help other workers if you have freetime)
Salary is NEGOTIABLE 
Send message asap",1
"Urgent Hiring Waitress 5'2 in Height 21to32yrs Old with Pleasing Personality.No Placement Fee.must be passport holder..Limit Visa Only..
Dm!!",1
