date_raw,sender_name,text
7 weeks ago,OWWA ***********,Kumusta Kabayan Helpline +*******-079-5005 / +*******-7068 / +*******-473-9543
7 weeks ago,OWWA ***********,Request for Assistance
7 weeks ago,Jem ***********,"Ma'am/Sir, Sana maka Sali anak KO SA schoolarship program nyo
malaking tulong to SA Amin. OFW po ako dito SA bansang Saudi Arabia"
7 weeks ago,Jino ***********,"Sir/Madam, My sister worked in Singapore for 29 yrs under one Employer. She is now in Philippines for good. Is there any assistance coming OWWA/POEA in case she to inquire. Please advise. Thak you"
7 weeks ago,Jerlyn ***********,Need assistance Po mga sir ma'am...
7 weeks ago,Neriza ***********,Good afternoon po sir I'm watching from Dubai UAE God bless us all everyone
7 weeks ago,Shaveena ***********,Sirrrrr ano p gwn to secure scholarship pra s anak kc pmnta last time anak k Owwa Zamboanga sbi wala dw ... Grade 12 po sya ngaun ofw fr Kuwait
7 weeks ago,Liyzzah ***********,I am here for arnel to give him thanks for his efforts in helpin our kabayan. Thank you and God bless you po.
7 weeks ago,Jay-ar ***********,Watching from Dubai UAE God bless
7 weeks ago,Faith ***********,Helo..frm abudabhi....
7 weeks ago,Cynthia ***********,"Good afternoon po sir arnel,watching from Riyadh,sir arnel ask ko lang po kung grade 12 po b puede avail Yong scholarship program ng OWWA,or sa college n po"
7 weeks ago,Maya ***********,Sir thanks po sa inyo sa OWWA FOR letting us know that we have an agency to call on to any problems that we encunter abroad
7 weeks ago,Knip ***********,Hello sir Arnel Ignacio God bless and keep safe always .
7 weeks ago,Lalang ***********,Sir ask q lng po mka kuha po vah aq allowance sa owwa active members po ako gsto q sana forgood na..
7 weeks ago,Rebecca ***********,Watching from Doha Qatar God bless
7 weeks ago,Freger ***********,"Watching from thailand,Seafarers God Bless Guide You Always"
7 weeks ago,Ekim ***********,"CONGRATS
TO"
7 weeks ago,Paulette ***********,Good day po
7 weeks ago,Abella ***********,Me assistance po ba makuha ang active OWWA member OFW in kuwait if ever nag covid positive while vacation jan s Pinas..
7 weeks ago,Marialina ***********,Good afternoon Sir Arnel watching from HongKong.
7 weeks ago,Cj ***********,Stc telecommunication po sa saudi riyadh po sir arnel
