,frequency
"'administration', 'welfare', 'workers', 'overseas'",70
"'welfare', 'overseas', 'workers', 'owwa'",70
"'one', 'alisin', 'pass', 'health'",55
"'balik', 'buhay', 'hanap', 'pinas'",25
"'balik', 'hanapbuhay', 'pinas'",19
"'cash', 'dole', 'akap', 'assistance'",19
"'one', 'pass', 'wala', 'health'",16
"'one', 'pahirap', 'pass', 'health'",15
"'balik', 'hanap', 'pinas'",14
"'one', 'pass', 'ofw', 'health'",14
"'scholarship', 'college', 'anak', 'apply'",14
"'rebate', 'owwa'",13
"'one', 'pass', 'mawala', 'health'",13
"'last', 'dole', 'akap', 'year'",12
"'scholarship', 'ofw', 'anak', 'apply'",12
"'nkuha', 'piro', 'ala', 'bagyo'",12
"'listahan', 'active', 'abra', 'owwa'",11
"'riyadh', 'arabia', 'saudi', 'ofw'",11
"'first', 'college', 'anak', 'year'",11
"'one', 'pass', 'maalis', 'health'",11
"'cash', 'positive', 'covid', 'assistance'",11
"'scholarship', 'owwa', 'anak', 'apply'",10
"'one', 'hirap', 'pass', 'health'",10
"'scholarship', 'owwa', 'anak', 'avail'",10
"'ninyo', 'tulong', 'isang', 'ofw'",10
"'dti', 'bahay', 'piso', 'bagyo'",10
"'member', 'active', 'owwa', 'malalaman'",10
"'scholarship', 'program', 'owwa', 'avail'",9
"'scholarship', 'anak', 'owwa', 'apply'",9
"'riyadh', 'saudi', 'day', 'arabia'",9
"'saudi', 'oger', 'repatriated', 'ofws'",9
"'oger', 'saudi', 'ltd', 'ofws'",9
"'buwan', 'maleta', 'bgo', 'uwe'",9
"'one', 'pass', 'please', 'health'",9
"'active', 'membership', 'owwa'",9
"'one', 'remove', 'pass', 'health'",9
"'scholarship', 'program', 'owwa', 'apply'",9
"'marcos', 'president', 'sarah', 'vice'",8
"'marcos', 'ferdinand', 'romualdez', 'vice'",8
"'marcos', 'pangulo', 'romualdez', 'ferdinand'",8
"'pay', 'last', '2020', 'vacation'",8
"'marcos', 'president', 'romualdez', 'vice'",8
"'tulungan', 'carpio', 'duterte', 'naghihikahos'",8
"'vice', 'president', 'duterte', 'sarah'",8
"'carpio', 'president', 'duterte', 'sarah'",8
"'tulungan', 'carpio', 'duterte', 'sarah'",8
"'approved', 'dole', 'akap', 'year'",8
"'tulungan', 'carpio', 'naghihikahos', 'manggagawa'",8
"'tulungan', 'saudi', 'naghihikahos', 'manggagawa'",8
"'oger', 'saudi', 'naghihikahos', 'manggagawa'",8
"'oger', 'saudi', 'ltd', 'manggagawa'",8
"'pangulo', 'pamahalaan', 'romualdez', 'ferdinand'",8
"'nawa', 'pagpalain', 'oger', 'ltd'",8
"'nawa', 'pagpalain', 'buhay', 'ltd'",8
"'nawa', 'pagpalain', 'buhay', 'dios'",8
"'member', 'active', 'owwa', 'wala'",8
"'oger', 'saudi', 'pagpalain', 'ltd'",8
"'pamahalaan', 'ministry', 'nakikiusap', 'justice'",8
"'pangulo', 'pamahalaan', 'ferdinand', 'nakikiusap'",8
"'pamahalaang', 'tamang', 'pilipinas', 'ahensiya'",8
"'pati', 'dole', 'owwa', 'dfa'",8
"'bagong', 'dole', 'owwa', 'pati'",8
"'tatag', 'bagong', 'dole', 'pati'",8
"'bagong', 'tatag', 'dmw', 'pati'",8
"'kakayahan', 'bagong', 'tatag', 'dmw'",8
"'kakayahan', 'tamang', 'dmw', 'tatag'",8
"'kakayahan', 'tamang', 'dmw', 'ahensiya'",8
"'kakayahan', 'tamang', 'pamahalaang', 'ahensiya'",8
"'pamahalaang', 'pilipinas', 'makipagugnayan', 'ahensiya'",8
"'gusto', 'scholarship', 'anak', 'apply'",8
"'pamahalaang', 'pilipinas', 'makipagugnayan'",8
"'pamahalaang', 'saudi', 'pilipinas', 'makipagugnayan'",8
"'pamahalaang', 'saudi', 'arabia', 'makipagugnayan'",8
"'pamahalaang', 'upang', 'saudi', 'arabia'",8
"'upang', 'saudi', 'arabia', 'isuong'",8
"'upang', 'arabia', 'kasong', 'isuong'",8
"'upang', 'kasong', 'naipanalo', 'isuong'",8
"'isuong', 'kasong', 'naipanalo', 'korte'",8
"'award', 'dole', 'owwa', 'dfa'",8
"'award', 'service', 'owwa', 'dfa'",8
"'award', 'service', 'end', 'dfa'",8
"'award', 'sahod', 'end', 'service'",8
"'pangulo', 'pamahalaan', 'justice', 'nakikiusap'",8
"'labor', 'ministry', 'nakikiusap', 'justice'",8
"'labor', 'ministry', 'justice'",8
"'labor', 'saudi', 'ministry'",8
"'labor', 'saudi', 'ministry', 'korte'",8
"'kinauukulan', 'pansinin', 'nanawagan', 'patuloy'",8
"'pansinin', 'hinaing', 'nanawagan', 'kinauukulan'",8
"'repatriated', 'pansinin', 'hinaing', 'kinauukulan'",8
"'repatriated', 'pansinin', 'hinaing', 'ofws'",8
"'repatriated', 'saudi', 'hinaing', 'ofws'",8
"'oger', 'saudi', 'ipagkaloob', 'ltd'",8
"'ipagkaloob', 'kahilingan', 'oger', 'ltd'",8
"'kahilingan', 'ipagkaloob', 'matanggap', 'ltd'",8
"'napaghirapan', 'kahilingan', 'matanggap', 'ipagkaloob'",8
"'napaghirapan', 'sahod', 'matanggap', 'kahilingan'",8
"'sahod', 'end', 'matanggap', 'napaghirapan'",8
"'sahod', 'end', 'service', 'napaghirapan'",8
"'application', 'approved', 'dole', 'akap'",8
