,frequency
"'dole', 'akap'",866
"'saudi', 'arabia'",633
"'anak', 'scholarship'",528
"'pass', 'health'",441
"'one', 'health'",434
"'active', 'owwa'",417
"'member', 'owwa'",389
"'owwa', 'scholarship'",346
"'scholarship', 'apply'",313
"'membership', 'owwa'",270
"'cash', 'assistance'",245
"'scholarship', 'avail'",245
"'riyadh', 'saudi'",243
"'isang', 'ofw'",203
"'balik', 'pinas'",191
"'college', 'anak'",186
"'last', 'year'",168
"'assistance', 'financial'",167
"'member', 'active'",150
"'tulong', 'owwa'",146
"'gusto', 'umuwi'",142
"'ofw', 'anak'",141
"'program', 'scholarship'",138
"'ngayon', 'wala'",134
"'isa', 'ofw'",132
"'owwa', 'assistance'",132
"'mom', 'single'",124
"'tulong', 'hingi'",124
"'anak', 'scholar'",120
"'owwa', 'galing'",117
"'service', 'end'",116
"'saudi', 'ofw'",112
"'humingi', 'tulong'",110
"'owwa', 'apply'",110
"'polo', 'owwa'",109
"'makukuha', 'owwa'",104
"'kuwait', 'ofw'",101
"'college', 'year'",99
"'anak', 'avail'",99
"'renew', 'owwa'",89
"'region', 'owwa'",85
"'anak', 'apply'",85
"'doha', 'qatar'",82
"'owwa', 'avail'",81
"'nio', 'matulungan'",81
"'parin', 'wala'",81
"'hospital', 'ofw'",79
"'uwi', 'pinas'",78
"'ofw', 'qatar'",77
"'contract', 'finish'",76
"'exit', 'visa'",75
"'ofw', 'scholarship'",74
"'owwa', 'wala'",74
"'region', 'akap'",73
"'administration', 'welfare'",71
"'overseas', 'owwa'",71
"'positive', 'covid'",71
"'program', 'owwa'",70
"'single', 'parent'",70
"'welfare', 'workers'",70
"'workers', 'overseas'",70
"'umuwi', 'pinas'",69
"'agency', 'pinas'",69
"'aaral', 'anak'",68
"'ofw', 'owwa'",68
"'akap', 'assistance'",67
"'owwa', 'anak'",65
"'ofw', 'dati'",64
"'matulungan', 'niyo'",63
"'college', 'scholarship'",62
"'ksa', 'riyadh'",61
"'saudi', 'jeddah'",60
"'distress', 'ofw'",60
"'natanggap', 'wala'",59
"'owwa', 'scholar'",58
"'isa', 'anak'",58
"'dole', 'owwa'",56
"'makauwi', 'pinas'",55
"'last', '2020'",55
"'mother', 'single'",54
"'ofw', 'assistance'",54
"'ofw', 'hindi'",53
"'bayad', 'owwa'",53
"'humihingi', 'tulong'",52
"'ngaun', 'wala'",52
"'tulong', 'ofw'",52
"'scholar', 'apply'",52
"'buhay', 'hanap'",51
"'balik', 'manggagawa'",51
"'medical', 'assistance'",51
"'covid', 'assistance'",51
"'update', 'wala'",48
"'one', 'alisin'",48
"'loan', 'owwa'",48
"'ask', 'apply'",47
"'oger', 'saudi'",47
"'riyadh', 'polo'",47
"'scholarships', 'anak'",46
"'owwa', 'members'",46
"'contract', 'verification'",46
"'hongkong', 'ofw'",46
"'pahirap', 'ofw'",45
"'amo', 'hindi'",45
"'scholarships', 'apply'",45
"'owwa', 'makuha'",45
"'hangang', 'ngayon'",45
"'apps', 'owwa'",45
"'saudi', 'galing'",45
"'asawa', 'ofw'",45
"'malaking', 'tulong'",44
"'matulungan', 'ninyo'",44
"'umuwi', 'ofw'",44
"'makahingi', 'tulong'",43
"'owwa', 'office'",43
"'ofw', 'avail'",43
"'dubai', 'ofw'",43
"'makakuha', 'scholarship'",43
"'pcr', 'test'",43
"'ask', 'day'",43
"'akap', 'owwa'",43
"'one', 'year'",42
"'umuwi', 'last'",42
"'riyadh', 'ofw'",42
"'ofw', 'years'",42
"'owwa', 'hindi'",42
"'amo', 'ayaw'",42
"'contract', 'end'",42
"'tapos', 'contrata'",42
"'anak', 'owwa'",42
"'pinas', 'owwa'",41
"'bagyong', 'odette'",41
"'mabigyan', 'pansin'",41
"'ibigay', 'ayaw'",41
"'gusto', 'kona'",41
"'ofw', 'galing'",41
"'anak', 'grade'",41
"'makukuha', 'ofw'",41
"'hihingi', 'tulong'",40
"'binigay', 'hindi'",40
"'pinas', 'wala'",40
"'high', 'school'",40
"'tulong', 'galing'",40
"'single', 'anak'",40
"'ofw', 'apply'",40
"'active', 'ofw'",40
"'app', 'owwa'",40
"'pamangkin', 'scholarship'",39
"'dalawa', 'anak'",39
"'anak', 'wala'",39
"'kaso', 'wala'",39
"'pay', 'vacation'",38
"'approved', 'akap'",38
"'wala', 'nakuha'",38
"'old', 'years'",38
"'yrs', 'ofw'",38
"'first', 'year'",37
"'amo', 'years'",37
"'ofw', 'wala'",37
"'middle', 'east'",37
"'ngaun', 'wla'",37
"'gusto', 'apply'",37
"'ksa', 'jeddah'",37
"'binigay', 'amo'",37
"'dubai', 'uae'",36
"'benefits', 'owwa'",36
"'distressed', 'ofw'",36
"'gusto', 'amo'",36
"'ngayon', 'wla'",36
"'ask', 'avail'",36
"'next', 'year'",36
"'dole', 'apply'",36
"'contract', 'tapos'",35
"'akap', 'wala'",35
"'trabaho', 'wala'",35
"'uae', 'ofw'",35
"'owwa', 'ofw'",34
"'bang', 'wala'",34
"'singapore', 'ofw'",34
"'rebate', 'owwa'",34
"'tatlo', 'anak'",33
"'buwan', 'isang'",33
"'pinas', 'uuwi'",33
"'owwa', 'programa'",33
"'pauwi', 'pinas'",33
"'isang', 'anak'",33
"'ticket', 'pauwi'",33
"'yrs', 'owwa'",33
"'oec', 'kuha'",33
"'oec', 'kumuha'",33
"'anak', 'schoolarship'",33
"'matulungan', 'makauwi'",32
"'single', 'ofw'",32
"'requirements', 'scholarship'",32
"'gusto', 'makauwi'",32
"'ask', 'ofw'",32
"'dole', 'assistance'",31
"'active', 'membership'",31
"'oec', 'makakuha'",31
"'ngayon', 'hindi'",31
"'bigyan', 'pansin'",30
