,frequency
'owwa',4944
'ofw',3416
'anak',2346
'wala',1901
'scholarship',1857
'amo',1725
'saudi',1646
'pinas',1439
'hindi',1401
'tulong',1234
'apply',1182
'akap',1120
'ask',1045
'gusto',988
'dole',972
'assistance',936
'avail',918
'kuwait',825
'riyadh',825
'agency',816
'active',810
'ngayon',805
'wla',793
'matulungan',739
'tanong',733
'arabia',660
'umuwi',646
'year',627
'years',626
'makukuha',608
'qatar',593
'isang',572
'one',571
'day',567
'college',566
'last',563
'member',556
'contract',518
'tapos',517
'health',517
'pass',515
'employer',506
'uwi',502
'dubai',486
'balik',485
'makuha',476
'ngaun',460
'galing',452
'isa',446
'oec',444
'walang',440
'region',439
'need',431
'abroad',418
'sahod',416
'asawa',398
'requirements',396
'yrs',392
'polo',391
'ninyo',386
'kaso',377
'pwd',376
'nio',357
'bang',357
'uae',356
'program',350
'work',349
'please',346
'membership',344
'single',334
'scholar',331
'ayaw',325
'covid',323
'nga',322
'kapatid',314
'makakuha',312
'cash',307
'2021',307
'hirap',307
'pls',289
'makauwi',286
'jeddah',286
'niyo',284
'hnd',284
'trabaho',281
'yun',279
'ticket',279
'passport',278
'financial',276
'benefits',262
'update',260
'hongkong',259
'tulungan',258
'ksa',256
'2022',251
'renew',246
'parin',242
'bago',237
'visa',236
'dati',236
'exit',235
'contrata',234
'matulongan',232
'months',232
'name',232
'uuwi',227
'medical',221
'ulit',216
'binigay',214
'city',212
'ayuda',209
'number',208
'problema',208
'online',205
'insurance',204
'buwan',203
'sakit',203
'end',202
'bahay',201
'hingi',200
'2020',200
'doon',192
'nong',191
'approved',190
'message',188
'patulong',188
'hndi',187
'pandemic',186
'kuha',182
'grade',181
'july',180
'embassy',180
'bayad',176
'taiwan',175
'pansin',174
'company',174
'kontrata',174
'sagot',173
'assistant',173
'mabigyan',171
'oman',170
'eve',170
'pauwi',170
'hospital',161
'kulang',159
'loan',158
'bahrain',158
'kasama',157
'pamangkin',157
'pamilya',157
'pera',157
'almost',156
'dun',156
'june',155
'pilipinas',154
'tpos',154
'araw',153
'bansa',153
'kailan',153
'service',152
'humingi',150
'email',148
'nakuha',148
'kumuha',146
'august',146
'follow',144
'aaral',144
'tanung',144
'namatay',142
'check',141
'kme',140
'shout',140
'uwe',138
'since',138
'ndi',133
'lagi',132
'positive',132
'andito',132
'buhay',131
'aqo',131
'ibig',131
'2019',130
'mom',130
'bigyan',129
'nakauwi',128
'month',127
'release',127
'natanggap',125
'school',124
'mandatory',124
'salary',124
'scholarships',123
'singapore',122
'ibigay',122
'ngayun',120
'application',119
'office',118
'bumalik',115
'repatriation',115
'march',115
'poba',114
'alisin',114
'pwedi',114
'time',113
'pahirapan',113
'expired',112
'nyu',110
'contact',110
'indemnity',110
'totoo',109
'slot',109
'process',108
'case',108
'umuwe',108
'tulongan',108
'appointment',107
'schoolarship',106
'pay',105
'mother',105
'aply',105
'concern',105
'wag',104
'programa',104
'parent',103
'manila',103
'first',102
'wlang',102
'dalawa',102
'namn',101
'benifits',100
'gagawin',100
'pahirap',100
'hinde',99
'workers',97
'action',97
'mabasa',97
'mkukuha',96
'syang',96
'pangkabuhayan',95
'staff',95
'mkuha',95
'10k',95
'punta',95
'vaccine',95
'doha',94
'see',94
'mahigit',93
'puro',93
'lhat',93
'old',93
'ate',92
'file',92
'pumunta',92
'kona',91
'vacation',91
'rebate',91
'kelan',90
'reply',90
'quarantine',90
'akung',90
'card',90
'halos',89
'hangang',88
'claim',88
'finish',88
'pasok',88
'iqama',88
'cia',88
'next',87
'bigay',87
'aksyon',87
'comment',86
'sahud',86
'makauwe',86
'apps',86
'repat',85
'approve',85
'pangalan',84
'certificate',84
'flight',84
'pala',84
'mkauwi',84
'family',84
'davao',83
'maayos',83
'pauwiin',83
'abra',82
'welfare',81
'nko',81
'ganun',81
'masagot',81
'overseas',81
'sobrang',81
'distress',81
'babalik',80
'live',80
'available',79
'bakasyon',79
'register',78
'naming',78
'nakabalik',78
'business',78
'2yrs',78
'nun',78
'open',78
'test',78
'regarding',77
'2nd',77
'app',77
'pde',77
'mabuhay',76
'pwedeng',76
'pati',76
'beses',76
'poea',76
'odette',76
'dumating',75
'high',75
'mahirap',75
'worker',75
'cebu',74
'magbayad',74
'3yrs',74
'till',74
'administration',74
'negosyo',73
'verification',73
'bah',73
'mas',73
'1yr',72
'ala',72
'documents',72
'samin',72
'makapasok',72
'natapos',72
'april',71
'umalis',71
'days',71
'members',71
'nkuha',69
'gang',69
'bansang',69
'pinauwi',69
'tatay',69
'livelihood',69
'pasukan',68
'pinag',68
'kinuha',68
'balita',68
'papers',68
'tnx',67
'kay',67
'nanay',66
'matanggap',66
'sinasabi',66
'4yrs',66
'province',66
'dina',66
'airport',65
'apat',65
'1year',65
'ohp',65
'dalawang',64
'gawa',64
'bagong',64
'seaman',64
'4years',64
'lumapit',64
'humihingi',64
'1st',64
'uli',64
'kaibigan',63
'padin',63
'saka',63
'nais',63
'gsto',63
'hinihingi',63
'lebanon',63
'dec',63
'pamasahe',62
'ayw',62
'nkauwi',62
'philhealth',61
'pcr',61
'makahingi',61
'hawak',61
'papa',61
'bata',61
'daming',60
'sept',60
'manggagawa',60
'january',60
'libre',60
'kuna',60
'shelter',59
'abudhabi',59
'mobile',59
'jordan',59
'september',59
