ID,Topic Keywords
1,"['saudi arabia', 'jeddah saudi', 'jeddah saudi arabia', 'riyadh saudi arabia', 'saudi arabia riyadh']"
2,"['health pass', 'one health', 'one health pass', 'alisin one health', 'alisin one']"
3,"['apply scholarship', 'apply scholarship anak', 'apply scholarship owwa', 'scholarship owwa', 'ask apply scholarship']"
4,"['avail scholarship', 'avail scholarship anak', 'avail scholarship owwa', 'scholarship owwa', 'avail scholarship program']"
5,"['riyadh saudi', 'riyadh saudi arabia', 'day riyadh', 'day riyadh saudi', 'everyone riyadh saudi']"
6,"['doha qatar', 'day doha', 'day doha qatar', 'araw doha', 'araw doha qatar']"
7,"['active owwa', 'owwa membership', 'active owwa membership', 'owwa member', 'active owwa member']"
8,"['dole akap', 'akap region', 'dole akap region', 'update dole', 'update dole akap']"
9,"['scholarship anak', 'apply scholarship anak', 'scholarship anak ofw', 'anak ofw', 'avail scholarship anak']"
10,"['riyadh ksa', 'day riyadh', 'day riyadh ksa', 'araw riyadh ksa', 'riyadh ksa pinas']"
